molecule_chembl_id,canonical_smiles,standard_value
CHEMBL134277,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,3488.0
CHEMBL11252,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N,20.0
CHEMBL552863,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5n4C)cn3C)cn2C)cc1C(=O)NCCC(=N)N,1.0
CHEMBL554247,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(NC(=O)c6ccc(N(CCCl)CCCl)cc6)ccc5o4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,5.0
CHEMBL717,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,924.0
CHEMBL536328,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5[nH]4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,1.0
CHEMBL552690,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4nc5cc(NC(=O)c6ccc(N(CCCl)CCCl)cc6)ccc5[nH]4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,5.0
CHEMBL337856,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1c(F)cccc1-3,2443.0
CHEMBL335996,COc1ccccc1/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,1885.0
CHEMBL130141,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccncc1C)Oc1ccc(F)cc1-3,1149.0
CHEMBL336169,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccco1)Oc1ccc(F)cc1-3,1273.0
CHEMBL554353,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(NC(=O)c6ccc(N(CCCl)CCCl)cc6)ccc5[nH]4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,7.5
CHEMBL540313,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(N(CCCl)CCCl)ccc5o4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,3.0
CHEMBL554189,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(NC(=O)c6ccc(N(CCCl)CCCl)cc6)ccc5n4C)cn3C)cn2C)cc1C(=O)NCCC(=N)N,5.0
CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,22.0
CHEMBL266703,CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN(C)CCOCCO/N=C/c2ccc(O)c(C(=O)NCNC3CC(O[C@H]4C[C@](O)(C(=O)CO)Cc5c(O)c6c(c(O)c54)C(=O)c4c(OC)cccc4C6=O)OC(C)C3O)c2)cc1)c1ccccc1,300.0
CHEMBL316132,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,21.0
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,9.6
CHEMBL85881,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,67.0
CHEMBL19481,CCC(c1ccccc1)C(c1ccc(O)cc1)c1ccc(OCCN(C)CCOCCO/N=C/c2ccc(O)c(C(N)=O)c2)cc1,150.0
CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,61.0
CHEMBL278308,CCC(c1ccccc1)C(c1ccc(O)cc1)c1ccc(OCCN(C)CCOCCOCCO/N=C/c2ccc(O)c(C(N)=O)c2)cc1,150.0
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.5
CHEMBL266185,CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN(C)CCO/N=C/c2ccc(O)c(C(=O)NCNC3CC(O[C@H]4C[C@](O)(C(=O)CO)Cc5c(O)c6c(c(O)c54)C(=O)c4c(OC)cccc4C6=O)OC(C)C3O)c2)cc1)c1ccccc1,300.0
CHEMBL315761,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,210.0
CHEMBL419110,CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,137.0
CHEMBL85650,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,76.0
CHEMBL19535,CCC(c1ccccc1)C(c1ccc(O)cc1)c1ccc(OCCN(C)CCO/N=C/c2ccc(O)c(C(N)=O)c2)cc1,300.0
CHEMBL19195,CC/C(=C(/c1ccc(O)cc1)c1ccc(OCN(C)C)cc1)c1ccccc1,5.0
CHEMBL313941,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,14.0
CHEMBL313825,CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,127.0
CHEMBL410193,CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN(C)CCOCCOCCO/N=C/c2ccc(O)c(C(=O)NCNC3CC(O[C@H]4C[C@](O)(C(=O)CO)Cc5c(O)c6c(c(O)c54)C(=O)c4c(OC)cccc4C6=O)OC(C)C3O)c2)cc1)c1ccccc1,200.0
CHEMBL315271,Oc1ccc2c(c1)S[C@H](CC1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,73.0
CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,2000.0
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,4.0
CHEMBL59146,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccccc1,620.0
CHEMBL60538,Oc1ccc2c(c1)CCC(c1ccccc1)N2Cc1ccc(OCCN2CCCCC2)cc1,490.0
CHEMBL56306,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCC3)cc2)cc1,68.0
CHEMBL58688,Oc1cccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)c1,390.0
CHEMBL56166,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccc(O)cc1,990.0
CHEMBL56390,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCC3)cc2)cc1,490.0
CHEMBL2137046,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,2.6
CHEMBL59311,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1cccc(O)c1,590.0
CHEMBL56198,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)cc1,270.0
CHEMBL293297,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCCC3)cc2)cc1,590.0
CHEMBL955,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccc(O)c(OC)c2)cc1,780.0
CHEMBL292185,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccc(O)c(OC)c2)c2ccccc2)cc1,3000.0
CHEMBL78526,CCCCC1C(c2ccc(O)cc2)=c2ccc3n2C1C=CC=3,200.0
CHEMBL312193,CCCc1c(-c2ccc(O)cc2)c2ccc3cccc1n32,5.0
CHEMBL309916,CCc1c(-c2ccccc2)c2ccc3cc(O)cc1n32,1300.0
CHEMBL80124,CCc1c(-c2ccc(O)cc2)c2ccc3c(O)ccc1n32,0.9
CHEMBL77680,CCCC(C)C1C(c2ccc(O)cc2)=c2ccc3n2C1C=CC=3,950.0
CHEMBL309677,Oc1ccc(C2=c3ccc4n3C(C=CC=4)C2CCc2ccccc2)cc1,180.0
